Data,alpha_K,K_input
20150101000000,44.85639267704288,1475038.5596173669
20150101010000,44.85640030437293,1475038.5596173669
20150101020000,44.856407931702776,1475038.5596173669
20150101030000,44.85641555903238,1475038.5596173669
20150101040000,44.85642318636175,1475038.5596173669
20150101050000,44.856430813690906,1475038.5596173669
20150101060000,44.85643844101983,1475038.5596173669
20150101070000,44.8564460683485,1475038.5596173669
20150101080000,44.856453695676954,1475038.5596173669
20150101090000,44.856461323005156,1475038.5596173669
20150101100000,44.85646895033315,1475038.5596173669
20150101110000,44.85647657766092,1475038.5596173669
20150101120000,44.856484204988455,1475038.5596173669
20150101130000,44.85649183231575,1475038.5596173669
20150101140000,44.856499459642826,1475038.5596173669
20150101150000,44.85650708696965,1475038.5596173669
20150101160000,44.85651471429625,1475038.5596173669
20150101170000,44.856522341622615,1475038.5596173669
20150101180000,44.8565299689488,1475038.5596173669
20150101190000,44.856537596274705,1475038.5596173669
20150101200000,44.85654522360039,1475038.5596173669
20150101210000,44.85655285092583,1475038.5596173669
20150101220000,44.85656047825108,1475038.5596173669
20150101230000,44.85656810557608,1475038.5596173669
20150102000000,44.85657573290083,1475038.5596173669
